title,rental_frequency
"CLUELESS BUCKET",25
"CONEHEADS SMOOCHY",25
"DOUBLE WRATH",25
"DOWNHILL ENOUGH",25
"DYNAMITE TARZAN",25
"EFFECT GLADIATOR",25
"ESCAPE METROPOLIS",25
"FEUD FROGMEN",25
"FISH OPUS",25
"GUN BONNIE",25
"HILLS NEIGHBORS",25
"MADNESS ATTACKS",25
"MALLRATS UNITED",25
"METAL ARMAGEDDON",25
"NIGHTMARE CHILL",25
"OSCAR GOLD",25
"SAMURAI LION",25
"SHEPHERD MIDSUMMER",25
"SHOW LORD",25
"STREETCAR INTENTIONS",25
"SUN CONFESSIONS",25
"TELEMARK HEARTBREAKERS",25
"TOMORROW HUSTLER",25
"TRADING PINOCCHIO",25
"WORKING MICROCOSMOS",25
"ALAMO VIDEOTAPE",24
"ARACHNOPHOBIA ROLLERCOASTER",24
"ATLANTIS CAUSE",24
"ATTRACTION NEWTON",24
"BOUND CHEAPER",24
"CAPER MOTIONS",24
"CELEBRITY HORN",24
"CENTER DINOSAUR",24
"COLOR PHILADELPHIA",24
"DRIFTER COMMANDMENTS",24
"FARGO GANDHI",24
"GOLDFINGER SENSIBILITY",24
"GUNFIGHT MOON",24
"HORN WORKING",24
"HURRICANE AFFAIR",24
"ICE CROSSING",24
"JASON TRAP",24
"JUMPING WRATH",24
"KNOCK WARLOCK",24
"LOLA AGENT",24
"MAIDEN HOME",24
"MOCKINGBIRD HOLLYWOOD",24
"ORANGE GRAPES",24
"OZ LIAISONS",24
"PACIFIC AMISTAD",24
"ROMAN PUNK",24
"SEATTLE EXPECATIONS",24
"SHOOTIST SUPERFLY",24
"SLEEPING SUSPECTS",24
"SLUMS DUCK",24
"STRANGELOVE DESIRE",24
"SUNRISE LEAGUE",24
"WEDDING APOLLO",24
"ACADEMY DINOSAUR",23
"AFFAIR PREJUDICE",23
"ALADDIN CALENDAR",23
"BALLOON HOMEWARD",23
"CANDLES GRAPES",23
"CARRIE BUNCH",23
"CROOKED FROGMEN",23
"CUPBOARD SINNERS",23
"EARTH VISION",23
"EASY GLADIATOR",23
"FLAMINGOS CONNECTICUT",23
"FOOL MOCKINGBIRD",23
"FREDDY STORM",23
"GENTLEMEN STAGE",23
"HEAVYWEIGHTS BEAST",23
"HOUSE DYNAMITE",23
"KARATE MOON",23
"KWAI HOMEWARD",23
"MURDER ANTITRUST",23
"NAME DETECTIVE",23
"OTHERS SOUP",23
"OUTBREAK DIVINE",23
"PATTON INTERVIEW",23
"PHILADELPHIA WIFE",23
"SALUTE APOLLO",23
"SCORPION APOLLO",23
"SNOWMAN ROLLERCOASTER",23
"STEEL SANTA",23
"STRICTLY SCARFACE",23
"TITANIC BOONDOCK",23
"TROUBLE DATE",23
"TRUMAN CRAZY",23
"WASH HEAVENLY",23
"WIND PHANTOM",23
"WOMEN DORADO",23
"YENTL IDAHO",23
"ALIEN CENTER",22
"ALTER VICTORY",22
"AMERICAN CIRCUS",22
"ANGELS LIFE",22
"ANNIE IDENTITY",22
"BANGER PINOCCHIO",22
"BEAR GRACELAND",22
"BEAUTY GREASE",22
"BLADE POLISH",22
"BORROWERS BEDAZZLED",22
"CHICKEN HELLFIGHTERS",22
"CHILL LUCK",22
"CONGENIALITY QUEST",22
"DREAM PICKUP",22
"EAGLES PANKY",22
"FALCON VOLUME",22
"FIGHT JAWBREAKER",22
"FLATLINERS KILLER",22
"GRAPES FURY",22
"HAUNTING PIANIST",22
"HEAD STRANGER",22
"HIGH ENCINO",22
"HOMICIDE PEACH",22
"HUSTLER PARTY",22
"KISS GLORY",22
"LIAISONS SWEET",22
"MALTESE HOPE",22
"MIDSUMMER GROUNDHOG",22
"PACKER MADIGAN",22
"QUEEN LUKE",22
"SEA VIRGIN",22
"SHAKESPEARE SADDLE",22
"SINNERS ATLANTIS",22
"SNATCH SLIPPER",22
"SOUTH WAIT",22
"TOURIST PELICAN",22
"VOLCANO TEXAS",22
"WHISPERER GIANT",22
"WONDERLAND CHRISTMAS",22
"AGENT TRUMAN",21
"AMADEUS HOLY",21
"AMISTAD MIDSUMMER",21
"ANACONDA CONFESSIONS",21
"ARIZONA BANG",21
"ARMAGEDDON LOST",21
"BADMAN DAWN",21
"BASIC EASY",21
"BERETS AGENT",21
"BEVERLY OUTLAW",21
"BLUES INSTINCT",21
"BROOKLYN DESERT",21
"CALENDAR GUNFIGHT",21
"CAUSE DATE",21
"CHAINSAW UPTOWN",21
"CHARIOTS CONSPIRACY",21
"CHRISTMAS MOONSHINE",21
"COAST RAINBOW",21
"CROSSROADS CASUALTIES",21
"DECEIVER BETRAYED",21
"DIVIDE MONSTER",21
"DOOM DANCING",21
"DRACULA CRYSTAL",21
"DRIVING POLISH",21
"EGG IGBY",21
"EMPIRE MALKOVICH",21
"EXCITEMENT EVE",21
"FIDELITY DEVIL",21
"FIREBALL PHILADELPHIA",21
"GHOST GROUNDHOG",21
"GREASE YOUTH",21
"HIGHBALL POTTER",21
"LEBOWSKI SOLDIERS",21
"MOONSHINE CABIN",21
"MOURNING PURPLE",21
"OPEN AFRICAN",21
"PIANIST OUTFIELD",21
"PIRATES ROXANNE",21
"RESURRECTION SILVERADO",21
"SABRINA MIDNIGHT",21
"SECRET GROUNDHOG",21
"SLEEPY JAPANESE",21
"SLEUTH ORIENT",21
"SPLENDOR PATTON",21
"STAR OPERATION",21
"STING PERSONAL",21
"SUIT WALLS",21
"UNBREAKABLE KARATE",21
"UNDEFEATED DALMATIONS",21
"VACATION BOONDOCK",21
"WAIT CIDER",21
"WOLVES DESIRE",21
"BRINGING HYSTERICAL",20
"CHASING FIGHT",20
"CHEAPER CLYDE",20
"CHOCOLAT HARRY",20
"DALMATIONS SWEDEN",20
"DINOSAUR SECRETARY",20
"FLYING HOOK",20
"GARDEN ISLAND",20
"GO PURPLE",20
"HARPER DYING",20
"HEARTBREAKERS BRIGHT",20
"HELLFIGHTERS SIERRA",20
"HUNCHBACK IMPOSSIBLE",20
"INSIDER ARIZONA",20
"INTERVIEW LIAISONS",20
"INTRIGUE WORST",20
"JERK PAYCHECK",20
"JET NEIGHBORS",20
"KICK SAVANNAH",20
"KISSING DOLLS",20
"LOVE SUICIDES",20
"MASKED BUBBLE",20
"MILLION ACE",20
"MINDS TRUMAN",20
"MONEY HAROLD",20
"NORTHWEST POLISH",20
"OUTFIELD MASSACRE",20
"PEAK FOREVER",20
"PINOCCHIO SIMON",20
"PREJUDICE OLEANDER",20
"QUEST MUSSOLINI",20
"REDEMPTION COMFORTS",20
"REIGN GENTLEMEN",20
"REUNION WITCHES",20
"RIVER OUTLAW",20
"ROOM ROMAN",20
"SECRETS PARADISE",20
"SLEEPLESS MONSOON",20
"SPICE SORORITY",20
"STEPMOM DREAM",20
"STRAIGHT HOURS",20
"TRAMP OTHERS",20
"WRONG BEHAVIOR",20
"BACKLASH UNDEFEATED",19
"BILL OTHERS",19
"BRIDE INTRIGUE",19
"CAMPUS REMEMBER",19
"CANYON STOCK",19
"CIDER DESIRE",19
"CLONES PINOCCHIO",19
"CLUB GRAFFITI",19
"DESERT POSEIDON",19
"DETAILS PACKER",19
"DISCIPLE MOTHER",19
"DOORS PRESIDENT",19
"EARRING INSTINCT",19
"ENCINO ELF",19
"ENCOUNTERS CURTAIN",19
"EYES DRIVING",19
"FANTASIA PARK",19
"FICTION CHRISTMAS",19
"FURY MURDER",19
"GABLES METROPOLIS",19
"GORGEOUS BINGO",19
"HANGING DEEP",19
"HONEY TIES",19
"HOURS RAGE",19
"IGBY MAKER",19
"INDEPENDENCE HOTEL",19
"JEDI BENEATH",19
"MARS ROMAN",19
"MINE TITANS",19
"MUSIC BOONDOCK",19
"NATIONAL STORY",19
"NEIGHBORS CHARADE",19
"NOVOCAINE FLIGHT",19
"PATIENT SISTER",19
"POND SEATTLE",19
"RAGE GAMES",19
"REQUIEM TYCOON",19
"ROAD ROXANNE",19
"ROXANNE REBEL",19
"SHAWSHANK BUBBLE",19
"SOMETHING DUCK",19
"SUNDANCE INVASION",19
"THIEF PELICAN",19
"TROJAN TOMORROW",19
"VOICE PEACH",19
"AIRPORT POLLOCK",18
"ALONE TRIP",18
"BAREFOOT MANCHURIAN",18
"BIRDS PERDITION",18
"BOULEVARD MOB",18
"CANDIDATE PERDITION",18
"CAROL TEXAS",18
"CLEOPATRA DEVIL",18
"CORE SUIT",18
"DARN FORRESTER",18
"DAWN POND",18
"DRAGONFLY STRANGERS",18
"DRIVER ANNIE",18
"ENOUGH RAGING",18
"EXPECATIONS NATURAL",18
"FORREST SONS",18
"GALAXY SWEETHEARTS",18
"GROOVE FICTION",18
"GROUNDHOG UNCUT",18
"HEAVEN FREEDOM",18
"HOPE TOOTSIE",18
"INCH JET",18
"INSECTS STONE",18
"INSTINCT AIRPORT",18
"JACKET FRISCO",18
"JADE BUNCH",18
"LION UNCUT",18
"MISSION ZOOLANDER",18
"PARADISE SABRINA",18
"POLISH BROOKLYN",18
"POLLOCK DELIVERANCE",18
"RACER EGG",18
"REMEMBER DIARY",18
"ROUGE SQUAD",18
"SCARFACE BANG",18
"SECRETARY ROUGE",18
"SMOKING BARBARELLA",18
"SWEDEN SHINING",18
"UNFORGIVEN ZOOLANDER",18
"VANISHING ROCKY",18
"WEEKEND PERSONAL",18
"WHALE BIKINI",18
"WONKA SEA",18
"BEACH HEARTBREAKERS",17
"BIKINI BORROWERS",17
"BREAKFAST GOLDFINGER",17
"COMFORTS RUSH",17
"CONFUSED CANDLES",17
"CONVERSATION DOWNHILL",17
"DYING MAKER",17
"EGYPT TENENBAUMS",17
"FACTORY DRAGON",17
"FERRIS MOTHER",17
"FLINTSTONES HAPPINESS",17
"FREAKY POCUS",17
"FRENCH HOLIDAY",17
"GANDHI KWAI",17
"GREEK EVERYONE",17
"HANOVER GALAXY",17
"HOLOCAUST HIGHBALL",17
"IDAHO LOVE",17
"INTENTIONS EMPIRE",17
"JEKYLL FROGMEN",17
"JERICHO MULAN",17
"JOON NORTHWEST",17
"LADY STAGE",17
"LAWLESS VISION",17
"LEAGUE HELLFIGHTERS",17
"LOUISIANA HARRY",17
"MAJESTIC FLOATS",17
"MASK PEACH",17
"MIDNIGHT WESTWARD",17
"MUSKETEERS WAIT",17
"NEWTON LABYRINTH",17
"NOON PAPI",17
"ORIENT CLOSER",17
"PERFECT GROOVE",17
"POSEIDON FOREVER",17
"POTTER CONNECTICUT",17
"REAR TRADING",17
"ROCK INSTINCT",17
"ROOTS REMEMBER",17
"SATISFACTION CONFIDENTIAL",17
"SLACKER LIAISONS",17
"STRANGERS GRAFFITI",17
"SUGAR WONKA",17
"TAXI KICK",17
"TEEN APOLLO",17
"UNITED PILOT",17
"VIRGIN DAISY",17
"WATERFRONT DELIVERANCE",17
"ZOOLANDER FICTION",17
"ARMY FLINTSTONES",16
"ARTIST COLDBLOODED",16
"ATTACKS HATE",16
"BAKED CLEOPATRA",16
"BONNIE HOLOCAUST",16
"BULL SHAWSHANK",16
"CADDYSHACK JEDI",16
"CASABLANCA SUPER",16
"CHICAGO NORTH",16
"COLDBLOODED DARLING",16
"COMMAND DARLING",16
"CONQUERER NUTS",16
"CRAFT OUTFIELD",16
"CREATURES SHAKESPEARE",16
"DAISY MENAGERIE",16
"DESTINY SATURDAY",16
"DUDE BLINDNESS",16
"GASLIGHT CRUSADE",16
"GRADUATE LORD",16
"HALL CASSIDY",16
"HOMEWARD CIDER",16
"INDIAN LOVE",16
"JEEPERS WEDDING",16
"LOCK REAR",16
"MERMAID INSECTS",16
"MOTIONS DETAILS",16
"MOULIN WAKE",16
"MUMMY CREATURES",16
"PATRIOT ROMAN",16
"PAYCHECK WAIT",16
"PICKUP DRIVING",16
"PILOT HOOSIERS",16
"PLUTO OLEANDER",16
"PRIDE ALAMO",16
"PURE RUNNER",16
"QUILLS BULL",16
"REAP UNFAITHFUL",16
"ROCKY WAR",16
"RULES HUMAN",16
"SAGEBRUSH CLUELESS",16
"SILENCE KANE",16
"SLIPPER FIDELITY",16
"STREAK RIDGEMONT",16
"SUMMER SCARFACE",16
"TRAP GUYS",16
"UPRISING UPTOWN",16
"VARSITY TRIP",16
"WANDA CHAMBER",16
"WATCH TRACY",16
"WEST LION",16
"WILLOW TRACY",16
"WIZARD COLDBLOODED",16
"WORDS HUNTER",16
"WORST BANGER",16
"AIRPLANE SIERRA",15
"ANTHEM LUKE",15
"BETRAYED REAR",15
"BOILED DARES",15
"CABIN FLASH",15
"CHARADE DUFFEL",15
"CIRCUS YOUTH",15
"CYCLONE FAMILY",15
"DEVIL DESIRE",15
"DIRTY ACE",15
"DIVINE RESURRECTION",15
"EDGE KISSING",15
"ENTRAPMENT SATISFACTION",15
"HOLES BRANNIGAN",15
"HOLIDAY GAMES",15
"HUMAN GRAFFITI",15
"HUNTING MUSKETEERS",15
"HYSTERICAL GRAIL",15
"ILLUSION AMELIE",15
"LABYRINTH LEAGUE",15
"LONELY ELEPHANT",15
"LOSER HUSTLER",15
"LUST LOCK",15
"MADISON TRAP",15
"MANCHURIAN CURTAIN",15
"MODEL FISH",15
"MODERN DORADO",15
"MONSTER SPARTACUS",15
"MOSQUITO ARMAGEDDON",15
"NASH CHOCOLAT",15
"NECKLACE OUTBREAK",15
"ODDS BOOGIE",15
"PANKY SUBMARINE",15
"PANTHER REDS",15
"RINGS HEARTBREAKERS",15
"SCISSORHANDS SLUMS",15
"SHIP WONDERLAND",15
"SHREK LICENSE",15
"SIEGE MADRE",15
"SIERRA DIVIDE",15
"SONS INTERVIEW",15
"SPIRIT FLINTSTONES",15
"STEERS ARMAGEDDON",15
"SUBMARINE BED",15
"SWEET BROTHERHOOD",15
"TOOTSIE PILOT",15
"TRANSLATION SUMMER",15
"VALLEY PACKER",15
"VIETNAM SMOOCHY",15
"WASTELAND DIVINE",15
"WORKER TARZAN",15
"ALLEY EVOLUTION",14
"ANALYZE HOOSIERS",14
"BLINDNESS GUN",14
"CONFESSIONS MAGUIRE",14
"CREEPERS KANE",14
"DANCES NONE",14
"DAY UNFAITHFUL",14
"DEEP CRUSADE",14
"DONNIE ALLEY",14
"ELEPHANT TROJAN",14
"GAMES BOWFINGER",14
"GLASS DYING",14
"GOLD RIVER",14
"GREEDY ROOTS",14
"GRINCH MASSAGE",14
"HAMLET WISDOM",14
"HOME PITY",14
"IMAGE PRINCESS",14
"IMPOSSIBLE PREJUDICE",14
"JAWS HARRY",14
"KANE EXORCIST",14
"LOVELY JINGLE",14
"MADRE GABLES",14
"MOTHER OLEANDER",14
"NEMO CAMPUS",14
"NOTORIOUS REUNION",14
"OUTLAW HANKY",14
"PAJAMA JAWBREAKER",14
"PARIS WEEKEND",14
"PEACH INNOCENT",14
"PERSONAL LADYBUGS",14
"SADDLE ANTITRUST",14
"SEARCHERS WAIT",14
"SHANE DARKNESS",14
"SHANGHAI TYCOON",14
"SHRUNK DIVINE",14
"SPLASH GUMP",14
"STAMPEDE DISTURBING",14
"STOCK GLASS",14
"TOMATOES HELLFIGHTERS",14
"TOWN ARK",14
"TROOPERS METAL",14
"TURN STAR",14
"UNCUT SUICIDES",14
"VIRTUAL SPOILERS",14
"WEREWOLF LOLA",14
"WRATH MILE",14
"ANONYMOUS HUMAN",13
"ARABIA DOGMA",13
"BEDAZZLED MARRIED",13
"BEHAVIOR RUNAWAY",13
"BILKO ANONYMOUS",13
"BREAKING HOME",13
"BRIGHT ENCOUNTERS",13
"CHAMBER ITALIAN",13
"CHAMPION FLATLINERS",13
"CHISUM BEHAVIOR",13
"CINCINATTI WHISPERER",13
"CITIZEN SHREK",13
"CONNECTICUT TRAMP",13
"DADDY PITTSBURGH",13
"DARKNESS WAR",13
"DATE SPEED",13
"DRUMS DYNAMITE",13
"EVERYONE CRAFT",13
"EXORCIST STING",13
"EXPRESS LONELY",13
"FLASH WARS",13
"FOREVER CANDIDATE",13
"HOLLYWOOD ANONYMOUS",13
"HOOK CHARIOTS",13
"HUNGER ROOF",13
"IDENTITY LOVER",13
"JINGLE SAGEBRUSH",13
"LAWRENCE LOVE",13
"LUCKY FLYING",13
"MEMENTO ZOOLANDER",13
"MICROCOSMOS PARADISE",13
"MILE MULAN",13
"MONTEREY LABYRINTH",13
"MOONWALKER FOOL",13
"MULAN MOON",13
"NATURAL STOCK",13
"OPPOSITE NECKLACE",13
"PARTY KNOCK",13
"PAST SUICIDES",13
"PURPLE MOVIE",13
"RAGING AIRPLANE",13
"ROBBERY BRIGHT",13
"SASSY PACKER",13
"SATURN NAME",13
"SPIKING ELEMENT",13
"SPINAL ROCKY",13
"STATE WASTELAND",13
"SUPER WYOMING",13
"TENENBAUMS COMMAND",13
"TUXEDO MILE",13
"USUAL UNTOUCHABLES",13
"WYOMING STORM",13
"ADAPTATION HOLES",12
"AFRICAN EGG",12
"ALABAMA DEVIL",12
"BLANKET BEVERLY",12
"BORN SPINAL",12
"BRANNIGAN SUNRISE",12
"CALIFORNIA BIRDS",12
"CROW GREASE",12
"DANGEROUS UPTOWN",12
"EVOLUTION ALTER",12
"FINDING ANACONDA",12
"FLIGHT LIES",12
"GUNFIGHTER MUSSOLINI",12
"HEDWIG ALTER",12
"LIBERTY MAGNIFICENT",12
"LOST BIRD",12
"LOVERBOY ATTACKS",12
"MASSAGE IMAGE",12
"MEET CHOCOLATE",12
"MIGHTY LUCK",12
"MINORITY KISS",12
"MOB DUFFEL",12
"PITTSBURGH HUNCHBACK",12
"SAVANNAH TOWN",12
"SIDE ARK",12
"SILVERADO GOLDFINGER",12
"SMOOCHY CONTROL",12
"SORORITY QUEEN",12
"SPEAKEASY DATE",12
"TEMPLE ATTRACTION",12
"TYCOON GATHERING",12
"UPTOWN YOUNG",12
"VALENTINE VANISHING",12
"VAMPIRE WHALE",12
"WAR NOTTING",12
"WINDOW SIDE",12
"AUTUMN CROW",11
"BEAST HUNCHBACK",11
"BEETHOVEN EXORCIST",11
"BIRCH ANTITRUST",11
"BIRD INDEPENDENCE",11
"BOWFINGER GABLES",11
"BUGSY SONG",11
"CRANES RESERVOIR",11
"DARKO DORADO",11
"DRAGON SQUAD",11
"DRUMLINE CYCLONE",11
"ENDING CROWDS",11
"FEATHERS METAL",11
"FRIDA SLIPPER",11
"FUGITIVE MAGUIRE",11
"GATHERING CALENDAR",11
"IRON MOON",11
"LANGUAGE COWBOY",11
"LORD ARIZONA",11
"MAGNOLIA FORRESTER",11
"MOD SECRETARY",11
"NORTH TEQUILA",11
"OCTOBER SUBMARINE",11
"OPUS ICE",11
"POTLUCK MIXED",11
"PRIX UNDEFEATED",11
"REEF SALUTE",11
"RIDER CADDYSHACK",11
"SANTA PARIS",11
"SONG HEDWIG",11
"SPIRITED CASUALTIES",11
"STONE FIRE",11
"STRANGER STRANGERS",11
"THEORY MERMAID",11
"THIN SAGEBRUSH",11
"TIES HUNGER",11
"TOWERS HURRICANE",11
"TRAINSPOTTING STRANGERS",11
"TWISTED PIRATES",11
"AMELIE HELLFIGHTERS",10
"ANTITRUST TOMATOES",10
"BENEATH RUSH",10
"BLOOD ARGONAUTS",10
"CLOCKWORK PARADISE",10
"DOUBTFIRE LABYRINTH",10
"ELEMENT FREDDY",10
"ELIZABETH SHANE",10
"FIDDLER LOST",10
"FROGMEN BREAKING",10
"GONE TROUBLE",10
"GRAIL FRANKENSTEIN",10
"HALLOWEEN NUTS",10
"HOLLOW JEOPARDY",10
"JAWBREAKER BROOKLYN",10
"JEOPARDY ENCINO",10
"LAMBS CINCINATTI",10
"LIFE TWISTED",10
"LOLITA WORLD",10
"LOVER TRUMAN",10
"LUCK OPUS",10
"MADIGAN DORADO",10
"MAKER GABLES",10
"MYSTIC TRUMAN",10
"NOTTING SPEAKEASY",10
"OLEANDER CLUE",10
"PATHS CONTROL",10
"RESERVOIR ADAPTATION",10
"RIGHT CRANES",10
"ROLLERCOASTER BRINGING",10
"RUN PACIFIC",10
"SENSIBILITY REAR",10
"SMILE EARRING",10
"SPOILERS HELLFIGHTERS",10
"STAGE WORLD",10
"SUPERFLY TRIP",10
"WAGON JAWS",10
"WARS PLUTO",10
"ALI FOREVER",9
"ANYTHING SAVANNAH",9
"BIRDCAGE CASPER",9
"CARIBBEAN LIBERTY",9
"CASUALTIES ENCINO",9
"CRAZY HOME",9
"DARES PLUTO",9
"DARLING BREAKING",9
"DAUGHTER MADIGAN",9
"DIARY PANIC",9
"DOLLS RAGE",9
"DROP WATERFRONT",9
"DWARFS ALTER",9
"FRISCO FORREST",9
"GHOSTBUSTERS ELF",9
"GILBERT PELICAN",9
"GUYS FALCON",9
"HOLY TADPOLE",9
"HOTEL HAPPINESS",9
"IMPACT ALADDIN",9
"INTOLERABLE INTENTIONS",9
"JUNGLE CLOSER",9
"KING EVOLUTION",9
"KRAMER CHOCOLATE",9
"LEGALLY SECRETARY",9
"LEGEND JEDI",9
"MAGUIRE APACHE",9
"MATRIX SNOWMAN",9
"MIRACLE VIRTUAL",9
"MONSOON CAUSE",9
"MONTEZUMA COMMAND",9
"NUTS TIES",9
"PLATOON INSTINCT",9
"RANDOM GO",9
"REDS POCUS",9
"SNATCHERS MONTEZUMA",9
"SPARTACUS CHEAPER",9
"SPEED SUIT",9
"VANILLA DAY",9
"VICTORY ACADEMY",9
"WISDOM WORKER",9
"WON DARES",9
"WONDERFUL DROP",9
"ZHIVAGO CORE",9
"BABY HALL",8
"BALLROOM MOCKINGBIRD",8
"CASPER DRAGONFLY",8
"CHAPLIN LICENSE",8
"CHITTY LOCK",8
"CLYDE THEORY",8
"CRUSADE HONEY",8
"DESIRE ALIEN",8
"DESTINATION JERK",8
"GODFATHER DIARY",8
"GOSFORD DONNIE",8
"GROSSE WONDERFUL",8
"HAROLD FRENCH",8
"HOOSIERS BIRDCAGE",8
"JUMANJI BLADE",8
"LIGHTS DEER",8
"MAGNIFICENT CHITTY",8
"MAUDE MOD",8
"PAPI NECKLACE",8
"PARK CITIZEN",8
"PET HAUNTING",8
"PUNK DIVORCE",8
"REBEL AIRPORT",8
"RECORDS ZORRO",8
"RUNAWAY TENENBAUMS",8
"RUNNER MADIGAN",8
"SAINTS BRIDE",8
"SHINING ROSES",8
"SOLDIERS EVOLUTION",8
"SOUP WISDOM",8
"SUNSET RACER",8
"TARZAN VIDEOTAPE",8
"UNFAITHFUL KILL",8
"UNTOUCHABLES SUNRISE",8
"VERTIGO NORTHWEST",8
"WORLD LEATHERNECKS",8
"ACE GOLDFINGER",7
"BANG KWAI",7
"BULWORTH COMMANDMENTS",7
"CLERKS ANGELS",7
"CLUE GRAIL",7
"CONNECTION MICROCOSMOS",7
"CONTROL ANTHEM",7
"COWBOY DOOM",7
"CRUELTY UNFORGIVEN",7
"DIVORCE SHINING",7
"DOCTOR GRAIL",7
"DOZEN LION",7
"DUFFEL APOCALYPSE",7
"EARLY HOME",7
"ELF MURDER",7
"EVE RESURRECTION",7
"FIRE WOLVES",7
"HAWK CHILL",7
"HEAVENLY GUN",7
"ISHTAR ROCKETEER",7
"LEATHERNECKS DWARFS",7
"LESSON CLEOPATRA",7
"LICENSE WEEKEND",7
"LUKE MUMMY",7
"MAGIC MALLRATS",7
"MENAGERIE RUSHMORE",7
"MULHOLLAND BEAST",7
"NEWSIES STORY",7
"PANIC CLUB",7
"PIZZA JUMANJI",7
"PRESIDENT BANG",7
"SENSE GREEK",7
"SQUAD FISH",7
"STALLION SUNDANCE",7
"TREATMENT JEKYLL",7
"VANISHED GARDEN",7
"VISION TORQUE",7
"YOUNG LANGUAGE",7
"APOCALYPSE FLAMINGOS",6
"BED HIGHBALL",6
"BUBBLE GROSSE",6
"CASSIDY WYOMING",6
"COMANCHEROS ENEMY",6
"DESPERATE TRAINSPOTTING",6
"DUCK RACER",6
"DUMBO LUST",6
"EXTRAORDINARY CONQUERER",6
"FRONTIER CABIN",6
"GRACELAND DYNAMITE",6
"HAPPINESS UNITED",6
"HAUNTED ANTITRUST",6
"ITALIAN AFRICAN",6
"JAPANESE RUN",6
"JERSEY SASSY",6
"KILLER INNOCENT",6
"LADYBUGS ARMAGEDDON",6
"OKLAHOMA JUMANJI",6
"PHANTOM GLORY",6
"RUSHMORE MERMAID",6
"SCHOOL JACKET",6
"SIMON NORTH",6
"SLING LUKE",6
"TEQUILA PAST",6
"TERMINATOR CLUB",6
"TEXAS WATCH",6
"WARLOCK WEREWOLF",6
"WATERSHIP FRONTIER",6
"WILD APOLLO",6
"YOUTH KICK",6
"BRAVEHEART HUMAN",5
"BUNCH MINDS",5
"CONSPIRACY SPIRIT",5
"FEVER EMPIRE",5
"FREEDOM CLEOPATRA",5
"FULL FLATLINERS",5
